Submitter,Maximum review status,Total submissions,Submissions with interpretations,Total Genes,Last updated,submitters_id,country_name,alpha_3
Servicio Extremeño de Salud; Hospital de Mérida,Assertion criteria,4,4,5,"May 27, 2020",506167,Spain,ESP
Laboratory of Molecular Genetics; National Institute of Health,-,4,4,3,"Aug 30, 2016",505809,United States,USA
Department of Medical Genetics; National Institute of Health,-,4,4,4,"Feb 13, 2020",505877,Morocco,MAR
Centre for Genomic Sciences; University of Hong Kong,-,4,4,4,"Jan 24, 2017",505949,Hong Kong,HKG
The Morris Kahn Laboratory of Human Genetics; Ben-Gurion University of the Negev,Assertion criteria,4,4,6,"Jun 27, 2019",506096,Israel,ISR
Investigational Cancer Therapeutics; MD Anderson Cancer Center,-,4,4,4,"Aug 24, 2020",507676,United States,USA
Division of Drug Research; Linkoping University,-,4,4,1,"Jan 25, 2018",506447,Sweden,SWE
"Department of Medical Biology, Faculty of Medicine; Hacettepe University",-,4,4,2,"Jul 06, 2020",506845,Turkey,TUR
Computational Biology Unit; University of Bari,Assertion criteria,4,4,2,"Jan 29, 2019",506353,Italy,ITA
National Molecular Genetics Centre of Cancer Research; N.N. Alexandrov National Cancer Centre of Belarus,Assertion criteria,4,4,2,"Jul 02, 2018",506329,Belarus,BLR
Arora Lab; Fox Chase Cancer Center,-,4,4,5,"Mar 21, 2018",506523,United States,USA
Department of Hematology; 303rd Hospital of the People's Liberation Army,-,4,4,2,"Aug 15, 2018",506451,China,CHN
IRCCS Fondazione Stella Maris; University of Pisa,Assertion criteria,4,4,4,"Apr 08, 2019",506679,Italy,ITA
Genetics Molecular Biology Lab; Hospital Juan P Garrahan,Assertion criteria,4,4,2,"Jun 18, 2019",506633,Argentina,ARG
The Translational Medicine Center of Children Development and Disease; Fudan University,Assertion criteria,4,4,3,"Mar 04, 2019",506219,China,CHN
"Department Of Genetics; Lifeline Super Speciality Hospital, Adoor.",Assertion criteria,4,4,4,"Jan 25, 2019",506377,India,IND
Dr. Alfred Bastarche Laboratory; Dr. Georges L. Dumont University Hospital Centre,-,4,4,5,"Oct 30, 2018",506714,Canada,CAN
Institut Pasteur du Maroc,-,4,4,1,"Apr 14, 2016",505757,Morocco,MAR
Fundacion Favaloro; PRICAI,-,4,4,1,"Nov 26, 2019",507321,Argentina,ARG
San Raffaele Telethon Institute for Gene Therapy; San Raffaele Hospital,-,4,4,1,"Apr 30, 2019",506972,Italy,ITA
INGEBI; INGEBI / CONICET,Assertion criteria,4,4,1,"Aug 10, 2020",506957,Argentina,ARG
Lab of Endocrine and Metabolic Research; Istituto Auxologico Italiano,-,4,4,1,"Dec 13, 2019",507350,Italy,ITA
"Department of Biochemistry, Faculty of Medicine; University of Khartoum",Assertion criteria,4,4,5,"Jun 06, 2020",507301,Sudan,SDN
Department of Medical Genetics; Hunan Provincial Maternal and Child Health Care Hospital,Assertion criteria,4,4,2,"Mar 31, 2020",507311,China,CHN
Department of Haematogenetics; ICMR National Institute of Immunohaematology,-,4,4,1,"Oct 04, 2019",507200,India,IND
Manipal Health Enterprises Pvt Ltd; Manipal Hospital,-,4,4,3,"Dec 30, 2016",505789,India,IND
Genatak,-,4,4,5,"Mar 08, 2020",506793,Kuwait,KWT
ACT Genomics,Assertion criteria,4,4,3,"Jul 01, 2020",506973,"Taiwan, Province of China",TWN
"Mani Lab, Yale Cardiovascular Research Center; Yale University",-,4,4,1,"May 20, 2019",507005,United States,USA
University of British Columbia,-,4,4,1,"Jul 23, 2015",505293,United States,USA
Tim Yu lab; Boston Children's Hospital,Assertion criteria,4,4,2,"Jul 24, 2019",506037,United States,USA
Unit U781; INSERM (Institut National de la Santé Et de la Recherche Médicale),-,4,4,1,"Sep 09, 2013",500181,France,FRA
The Cell Therapy Center; The University of Jordan,Assertion criteria,4,4,2,"Aug 02, 2019",507041,Jordan,JOR
Laboratorio Genetica Umana; Istituto Giannina Gaslini,-,4,4,6,"Sep 01, 2020",507405,Italy,ITA
Molecular Genetics and RNA Biology; University of Milan,Assertion criteria,4,4,1,"Jul 21, 2014",505196,United States,USA
Leiden Muscular Dystrophy pages (PDLIM3); Leiden University Medical Center,-,4,0,1,"Apr 20, 2012",500019,Netherlands,NLD
Epi4K Consortium,-,4,4,1,"Jan 03, 2018",506458,United States,USA
deCODE genetics,-,4,4,100,"May 02, 2019",506996,Iceland,ISL
Erez Levanon lab; Bar Ilan University,Assertion criteria,4,4,2,"May 05, 2016",505697,Israel,ISR
Genetics Research Lab; Taif University,Assertion criteria,4,4,3,"May 25, 2015",504792,Saudi Arabia,SAU
"Krakow/Cohn Lab; University of California, Los Angeles",-,4,4,1,"Jul 25, 2019",507118,United States,USA
Language and Genetics Department; Max Planck Institute for Psycholinguistics,Assertion criteria,4,4,1,"Jan 19, 2017",505558,Netherlands,NLD
Kruer lab; Phoenix Children's Hospital,-,4,4,1,"Nov 11, 2015",505620,United States,USA
"Molecular Genetics Department; Kulakov National Medical Research Center for Obstetrics, Gynecology and Perinatology",Assertion criteria,4,4,4,"Jan 10, 2020",505775,Russian Federation,RUS
INSERM UMR 1170; INSERM,Assertion criteria,4,4,9,"Jun 18, 2015",505499,France,FRA
Bone sarcomas and remodeling of calcified tissues; INSERM,-,4,4,1,"Jun 26, 2019",507075,France,FRA
UF de Génétique Moléculaire; Hôpital Lariboisière,Assertion criteria,4,4,1,"May 08, 2014",504860,France,FRA
Cormier-Daire Lab; IMAGINE,Assertion criteria,4,4,2,"Jun 14, 2019",506286,France,FRA
Department of Hematology - Research Laboratory 1; Postgraduate Institute of Medical Education and Research,-,4,4,3,"Jul 03, 2018",506315,India,IND
HFI Laboratory at Boston University; Boston University,-,4,4,1,"Mar 15, 2017",1207,United States,USA
Cancer Diagnostics Division; Gene Solutions,Assertion criteria,4,4,3,"Aug 12, 2019",506625,Viet Nam,VNM
Service de Génétique Médicale; Institut Central des Hôpitaux,Assertion criteria,4,4,4,"Jul 30, 2019",506670,Switzerland,CHE
Department of Pediatric Endocrinology; Cukurova University Medical Faculty,Assertion criteria,4,4,3,"Mar 18, 2019",506928,Turkey,TUR
Molecular and Clinical Genetics; Institute of Human Genetics P.A.S.,-,4,4,1,"Feb 22, 2019",506861,Poland,POL
"Medical Genetics Department; University Hospital Nantes, CHU Nantes",-,4,4,2,"Dec 07, 2018",506806,France,FRA
Center of Excellence for Medical Genomics; Chulalongkorn University,Assertion criteria,4,4,4,"Apr 09, 2020",507386,Thailand,THA
Centro de Biología Molecular Severo Ochoa; Universidad Autónoma de Madrid,-,4,4,1,"Feb 18, 2020",507456,Spain,ESP
University Health Network; Princess Margaret Cancer Centre,-,4,4,3,"Aug 24, 2020",507285,Canada,CAN
Hospital of the University of Pennsylvania; Center for Personalized Diagnostics,Assertion criteria,4,4,4,"Jan 11, 2016",505665,United States,USA
Zabetian_UW Neurogenetics Lab; University of Washington/VAPSHCS,Assertion criteria,4,4,2,"Apr 14, 2016",505608,United States,USA
"Pediatric Services; National Institutes of Health, Clinical Center",Assertion criteria,4,4,2,"Apr 24, 2015",505440,United States,USA
Department of Biochemistry; Quaid-i-Azam University,-,4,4,11,"Mar 25, 2015",505391,Pakistan,PAK
Medical Genetics; Dicle University,-,4,0,1,"Jun 08, 2015",505280,Turkey,TUR
Institute of Pediatric Research; Xinhua Hospital affiliated to Shanghai Jiao Tong University School of Medicine,Assertion criteria,4,4,7,"Feb 01, 2018",505367,China,CHN
Veritas Genetics,-,4,4,2,"Sep 09, 2016",505598,United States,USA
Harry Perkins Institute of Medical Research; University of Western Australia,Assertion criteria,4,4,2,"Feb 04, 2019",505459,Australia,AUS
"E. Rossignol Lab; CHU Ste-Justine, Universite de Montreal",-,4,4,2,"Nov 25, 2014",505384,Canada,CAN
Department of Hematology; University of Health Sciences,-,4,4,1,"Jun 27, 2015",505475,United States,USA
Nyegaard lab; Aarhus University,-,4,4,1,"Aug 08, 2014",500287,Denmark,DNK
Institute for Genetics of Heart Diseases; University Hospital Muenster,-,4,4,2,"May 15, 2014",500245,Germany,DEU
Colsan,-,4,0,3,"Sep 06, 2017",505290,Brazil,BRA
AG Schumann; Charité Universitätsmedizin Berlin,-,4,4,1,"Mar 02, 2015",505376,Germany,DEU
Center for Narcolepsy; Stanford University,-,4,4,4,"Dec 10, 2014",505348,United States,USA
Laboratory for Cytogenetics and Genome Research; KU Leuven,Assertion criteria,4,4,1,"Nov 15, 2017",506392,Belgium,BEL
"Ali Lab, Centre for Genetic Disorders; Banaras Hindu University",Assertion criteria,4,4,1,"Sep 16, 2020",506577,India,IND
Iowa Institute Of Oral Health Research; University of Iowa,-,4,0,1,"Jun 14, 2020",507567,United States,USA
Obstetrics and Gynaecology Department; Chinese University of Hong Kong,-,3,3,1,"Sep 29, 2017",506235,Hong Kong,HKG
Department of Medical Genetics; Shiraz University of Medical Sciences,-,3,3,1,"Jan 16, 2015",505343,"Iran, Islamic Republic of",IRN
Institute of Microbiology; University Hospital and University of Lausanne,-,3,3,1,"Aug 08, 2014",500198,United States,USA
Human Genetics; Philipps Universitaet Marburg,-,3,3,1,"Oct 16, 2014",505307,Germany,DEU
Akiko Shimamura Lab; Fred Hutchinson Cancer Research Center,-,3,3,1,"Jan 08, 2015",505325,United States,USA
Department of Endocrinology and Metabolism; The First Affiliated Hospital of Sun Yet-sen University,Assertion criteria,3,3,3,"Mar 03, 2015",505377,China,CHN
DeNA Laboratory,-,3,3,3,"May 15, 2020",507513,"Iran, Islamic Republic of",IRN
Center for Bone Health; The Children's Hospital of Philadelphia,-,3,3,1,"Sep 16, 2020",507716,United States,USA
Choi Lab; Seoul National University,Assertion criteria,3,3,3,"Nov 09, 2017",505731,United States,USA
Department of Plant Molecular and Cellular Biology; Adam Mickiewicz University,-,3,0,1,"Jun 11, 2010",500215,Poland,POL
Neuromuscular disorders lab; University of Helsinki,Assertion criteria,3,3,3,"Nov 22, 2017",505821,Finland,FIN
Northern Blood Research Centre; University of Sydney,Assertion criteria,3,3,4,"Jul 10, 2018",500191,Australia,AUS
Medical Genetics UMG; Mater Domini University Hospital/ Magna Graecia University of Catanzaro,Assertion criteria,3,3,3,"Jan 16, 2019",505496,Italy,ITA
"Innovations Lab, Hyderabad; Tata Consultancy Services Ltd",-,3,3,1,"Jan 14, 2015",505400,India,IND
Sanford Children's Health Research Center; Sanford-Burnham-Prebys Medical Discovery Institute,Assertion criteria,3,3,2,"Oct 26, 2015",505610,United States,USA
Molecular Genetics Pathology Laboratory; University Of Arkansas for Medical Sciences,Assertion criteria,3,3,2,"Oct 26, 2015",505587,United States,USA
Department of Clinical Genetics; Oxford University Hospitals NHS Foundation Trust,Assertion criteria,3,3,2,"Jan 22, 2016",505534,United Kingdom,GBR
Centre of Chronic Immunodeficiency; Freiburg University,-,3,3,2,"Aug 06, 2012",500201,Germany,DEU
"Genetics - Viapath; Viapath, Guy's Hospital",Assertion criteria,3,3,8,"Apr 12, 2019",280848,United Kingdom,GBR
Molecular ImmunoRheumatology UMRS_1109; Institut national de la santé et de la recherche médicale,-,3,3,1,"Jul 19, 2017",506272,France,FRA
Charité Universitätsmedizin Berlin; Charite Universitaetsmedizin Berlin,Assertion criteria,3,3,3,"May 05, 2020",505885,Germany,DEU
Molecular Genetics and RNA Biology; Humanitas University,Assertion criteria,3,3,1,"Jun 26, 2015",505465,Italy,ITA
"Genomics, and Precision Dentistry Research Unit, Faculty of Dentistry; Chulalongkorn University",Assertion criteria,3,3,6,"Aug 07, 2020",507398,Thailand,THA
Division of Biology and Genetics; University of Brescia,Assertion criteria,3,3,3,"Aug 07, 2020",507568,Italy,ITA
"Flatmark laboratory; Institute for Cancer Research, Oslo University Hospital",-,3,3,3,"Feb 28, 2019",506905,Norway,NOR
Stem Cell Engineering Center; Hunan Guangxiu Hospital,-,3,3,1,"Mar 31, 2019",506927,China,CHN
"Molecular Pathology and Genetics; King Abdulaziz Medical City, Ministry of National Guard - Health Affairs",Assertion criteria,3,3,1,"Jul 16, 2019",507094,Saudi Arabia,SAU
Cancer Genomics Laboratory; Texas Children's Hospital,-,3,3,3,"Aug 16, 2019",506673,United States,USA
Department of Laboratory Medicine; Soonchunhyang University Seoul Hospital,Assertion criteria,3,3,3,"Oct 07, 2018",506726,"Korea, Republic of",KOR
U955 Equipe 11; INSERM,-,3,3,4,"Oct 29, 2014",505263,France,FRA
"FAHD UNIT, Department of Genetics; King Faisal Specialist Hospital and Research Centre",-,3,3,3,"Apr 19, 2019",506124,Saudi Arabia,SAU
Department of Research and Development; Instituto Hermes Pardini,Assertion criteria,3,3,1,"Feb 25, 2016",505709,Brazil,BRA
Department of Neurology; University Hospital of Strasbourg,-,3,3,3,"Jun 24, 2015",505485,France,FRA
Department of Paediatrics and Adolescent Medicine; The University of Hong Kong,Assertion criteria,3,3,12,"Jul 08, 2020",507009,Hong Kong,HKG
Child and Family Research Institute,Assertion criteria,3,3,1,"Aug 11, 2015",505495,Canada,CAN
Center for Human Genetics; University Hospitals Case Medical Center/Case Western Reserve University,Assertion criteria,3,3,3,"Jul 25, 2020",505514,United States,USA
Molecular Oncology Laboratory; Centre Jean Perrin,-,3,3,3,"Feb 26, 2015",505621,France,FRA
"Pediatric Genetics Division, Center for Pediatrics and Adolescent Medicine; University Medical Center Freiburg",Assertion criteria,3,3,4,"Nov 11, 2015",505633,Germany,DEU
UCL Genetics Institute; UCL,-,3,3,1,"Dec 23, 2014",505637,United Kingdom,GBR
DPM3 homepage - Leiden Muscular Dystrophy pages; Leiden University Medical Center,-,3,0,1,"Apr 20, 2012",500014,Netherlands,NLD
Abrahams Lab; Albert Einstein College of Medicine,Assertion criteria,3,3,3,"Dec 22, 2014",505414,United States,USA
Medical Genetic Team; CHRU Montpellier,Assertion criteria,3,3,2,"Jun 30, 2020",506884,France,FRA
"Division of Molecular Medicine; Faculty of Medicine Siriraj Hospital, Mahidol University",-,3,3,1,"Apr 05, 2018",506559,Thailand,THA
Laboratory of Molecular Diagnostics and Monitoring of CML and Ph+ Leukemias; Institute of Hematology and Blood Transfusion,-,3,0,2,"Aug 07, 2014",505207,Czechia,CZE
"Genetics Service, Department of Paediatrics; KK Women's and Children's Hospital",Assertion criteria,3,3,2,"Aug 29, 2019",506844,Singapore,SGP
Osteogenesis Imperfecta Variant Database (SERPINF1); University of Leicester,-,3,0,1,"Mar 02, 2011",500021,United Kingdom,GBR
Cytogenetics and Genomics Lab; Cyprus Institute of Neurology and Genetics,Assertion criteria,3,3,1,"May 01, 2020",507045,Cyprus,CYP
Clinical Genetics Laboratory of Dermatology; Peking University First Hospital,Assertion criteria,3,3,2,"Jul 07, 2020",505937,China,CHN
LABORATORIO DE MEDICINA GENOMICA; Hospital General de Culiacan,-,3,3,2,"Dec 06, 2017",505594,Mexico,MEX
"Bioinformatics Institute; Agency for Science, Technology and Research",Assertion criteria,3,3,3,"Jun 03, 2019",507038,Singapore,SGP
Thoracic and Gastrointestinal Oncology Branch/CCR/NCI; National Institutes of Health,-,3,3,4,"Aug 22, 2016",505899,United States,USA
Christopher A. Walsh Laboratory; Boston Children's Hospital,-,3,3,2,"Apr 17, 2020",505902,United States,USA
Kahle Lab; Yale University,Assertion criteria,3,3,209,"Jun 11, 2018",506560,United States,USA
Lab of Dermatology; Peking University First Hospital,-,3,3,1,"Jan 12, 2012",500296,China,CHN
Laboratoire de Génétique et de Physiologie Neuroendocrinienne; Faculté des Sciences,-,3,0,1,"Jul 12, 2010",500264,Morocco,MAR
"Xenon Pharmaceuticals, Inc.",-,3,3,2,"Nov 07, 2017",506325,Canada,CAN
NxGen MDx,Assertion criteria,3,3,3,"Jul 27, 2020",507143,United States,USA
Flegel Lab; National Institutes of Health,-,3,3,2,"May 31, 2017",506220,United States,USA
Fundació de Recerca de l'Institut de Microcirurgia Ocular,-,3,3,3,"Jun 06, 2017",506223,Spain,ESP
GenomeConnect - No Stomach For Cancer,-,3,0,1,"Mar 26, 2020",507205,United States,USA
Medgenome Labs Pvt Ltd,Assertion criteria,3,3,1,"May 29, 2019",506170,India,IND
Genomics For Life,Assertion criteria,3,3,4,"Apr 27, 2020",506652,Australia,AUS
The William Harvey Research Institute; Queen Mary University,-,3,3,1,"May 17, 2020",507586,United Kingdom,GBR
Pediatric Diabetes Laboratory; Charité Campus Berlin-Buch,-,3,0,1,"Oct 25, 2013",500178,Germany,DEU
Devine Lab; University of Maryland School of Medicine,-,3,0,2,"Dec 17, 2014",505257,United States,USA
Laboratorio de Genetica do Desenvolvimento - CEGH; Universidade de Sao Paulo,Assertion criteria,3,3,1,"Jun 17, 2016",505828,Brazil,BRA
Central Haematology Laboratory; Luzerner Kantonsspital,-,3,3,1,"Aug 03, 2016",505883,Switzerland,CHE
Chongqing Key Laboratory of Ophthalmology and Chongqing Eye Institute; The First Affiliated Hospital of Chongqing Medical University,Assertion criteria,3,3,1,"Jan 29, 2020",507349,China,CHN
Department of Endocrinology; The Second Hospital of Jilin University,-,3,3,1,"Feb 07, 2020",507383,China,CHN
Institute of Medical Genetics; ASUI Udine,Assertion criteria,3,3,3,"Aug 06, 2020",507219,Italy,ITA
Dept of Molecular Biology and Genetics; Bogazici University,-,3,3,3,"Nov 21, 2017",506217,Turkey,TUR
Department of Medical Genetics; Hue University of Medicine and Pharmacy,Assertion criteria,3,3,2,"Jul 14, 2020",507653,Viet Nam,VNM
Treehouse Childhood Cancer Initiative; UC Santa Cruz,-,3,3,4,"Sep 04, 2019",507171,Philippines,PHL
Papaemmanuil Lab; Memorial Sloan Kettering Cancer Research Center,Assertion criteria,3,3,63,"Aug 27, 2018",506687,United States,USA
Department of Biotechnology and Microbiology; Karnatak University Dharwad,-,3,3,1,"Jun 20, 2019",506760,India,IND
Clinical Laboratory; Xuzhou Maternity and Child Health Care Hospital,-,3,3,1,"Jun 28, 2018",506639,China,CHN
Molecular Neuropsychiatry & Development Lab; Centre for Addiction and Mental Health,Assertion criteria,3,3,4,"Mar 09, 2020",506471,Canada,CAN
"The Genetic Institute, Ha'emek Medical center; Ha'emek Medical Center",-,3,3,4,"Apr 24, 2020",506441,Israel,ISR
Dental Genetics Laboratory; Seoul National University School of Dentistry,-,3,3,2,"Feb 03, 2020",506455,"Korea, Republic of",KOR
Unit of Genetics and Genomics of Neuromuscular Diseases; Principe Felipe Research Center,-,3,3,2,"Dec 14, 2018",506251,Spain,ESP
Bezmialem Vakif University; Medical Faculty,-,3,3,3,"Oct 02, 2018",506741,Turkey,TUR
Molecular Pathology Laboratory; Cleveland Clinic,Assertion criteria,3,3,17,"Jul 22, 2019",507104,United States,USA
University of Malaya Medical Center; University of Malaya,Assertion criteria,3,3,1,"Dec 17, 2018",506822,Malaysia,MYS
Laboratory of Molecular Genetics; Yakut Science Centre of Complex Medical Problems,Assertion criteria,3,3,3,"Nov 07, 2019",506825,Russian Federation,RUS
"Medical Molecular Genetics Department; Human Genetics and Genome Research Division, National Research Centre",Assertion criteria,3,3,2,"Jun 12, 2020",506873,Egypt,EGY
Department of Pediatrics; Kobe University,-,3,3,1,"Jun 01, 2015",505454,Japan,JPN
Leeds Institute of Medical Research; University of Leeds,Assertion criteria,3,3,2,"Jul 30, 2019",506919,United Kingdom,GBR
Division of Paediatric Endocrinology and Diabetes; University of Luebeck,Assertion criteria,3,3,1,"Sep 14, 2018",506708,Germany,DEU
"Department of Internal Medicine, The University of Texas McGovern Medical School; The University of Texas Health Science Center at Houston",Assertion criteria,3,3,1,"Aug 01, 2018",506674,United States,USA
Precision Medicine Oncology; Rutgers Cancer Institute of New Jersey,-,3,3,30,"Mar 01, 2018",506525,United States,USA
Center of Vascular Surgery; The Second Affiliated Hospital of Nanchang University,-,3,3,3,"Jul 30, 2018",506347,China,CHN
Unidade de Bioquimica Genetica; Centro Hospitalar do Porto,Assertion criteria,3,3,2,"Oct 09, 2018",506378,Portugal,PRT
"Pfaffle Lab, University Hospital for Children and Adolescents; University of Leipzig",-,3,3,3,"Jun 06, 2018",506510,Germany,DEU
HSP Biomedical Diagnostics Department; Hospital San Pedro,-,3,3,3,"Aug 20, 2018",506666,Spain,ESP
Fan Lab; Zhengzhou University,Assertion criteria,3,3,2,"Sep 19, 2018",506554,China,CHN
Clinical Genetics Unit; Atomic Energy Commission of Syria (AECS),Assertion criteria,3,3,1,"Jan 25, 2016",505468,Syrian Arab Republic,SYR
"Institute of Pediatric Research, Children's Hospital of Soochow University; Soochow University",Assertion criteria,3,3,1,"Aug 12, 2020",507203,China,CHN
Institute of Medical Genetics and Applied Genomics; University Hospital Tübingen,-,3,3,55,"Mar 06, 2020",506385,Germany,DEU
Genetics and Molecular Pathology Laboratory; Hudson Institute of Medical Research,-,3,3,1,"Sep 12, 2017",506324,Australia,AUS
Polak associated Lab; Imagine Institute,-,3,3,1,"Oct 16, 2018",506752,France,FRA
"Institute of Endocrinology, Diabetes & Metabolism; Max Healthcare Institute Ltd.",Assertion criteria,3,3,3,"Jan 12, 2019",506256,India,IND
KK Women’s and Children’s Hospital,Assertion criteria,3,3,3,"Jul 27, 2017",506077,Singapore,SGP
Biochimie Génétique et moléculaire; CHUGA,Assertion criteria,3,3,2,"Oct 22, 2019",505950,France,FRA
"Shenzhen Key Laboratory of Neurogenomics, Beijing Genomics Institute Research; Beijing Genomics Institute",-,3,3,1,"May 31, 2017",505973,China,CHN
"Cardiovascular Research Laboratory; Shanghai Chest Hospital, Shanghai Jiao Tong University",Assertion criteria,3,3,4,"Oct 30, 2019",505860,China,CHN
Department of Ophthalmology; Flinders Medical Centre,Assertion criteria,3,3,5,"Jun 25, 2019",505817,Australia,AUS
Laboratoires de Diagnostic Génétique; Hôpitaux Universitaires de Strasbourg,-,3,3,2,"Nov 25, 2019",506153,France,FRA
"Hauner Childrens Hospital, Department of Pediatrics; Dr. von Hauner Children's Hospital; Ludwig Maximilians University",-,3,3,1,"Nov 05, 2016",506022,Germany,DEU
Molecular Cardiogenetic Lab; Hospices Civils de Lyon,-,3,3,1,"Jan 07, 2020",507227,France,FRA
Columbia University Laboratory of Personalized Genomic Medicine; Columbia University Medical Center,Assertion criteria,3,3,687,"Mar 14, 2020",500041,United States,USA
GargLab; Nationwide Children's Hospital,-,3,3,2,"Apr 20, 2020",500097,United States,USA
Garry R Cutting Laboratory; Johns Hopkins University,Assertion criteria,3,3,1,"Oct 21, 2015",505652,United States,USA
McKusick-Nathans Institute of Genetic Medicine; Johns Hopkins University,-,3,3,3,"Dec 30, 2013",504795,United States,USA
Mount Sinai Diagnostic Laboratory; Icahn School of Medicine at Mount Sinai ,Assertion criteria,3,3,1,"Dec 31, 2019",507344,United States,USA
"Molecular Oncology Initiative; University of California, San Francisco",-,3,3,3,"Sep 10, 2019",507170,United States,USA
"UCSF Pediatric Lipid Clinic; University of California, San Francisco",Assertion criteria,3,3,2,"Nov 15, 2019",507279,United States,USA
TilsonLab; Columbia University,-,3,3,3,"Oct 06, 2014",505222,United States,USA
Knight Cancer Institute; Oregon Health and Sciences University,-,3,3,5,"Aug 24, 2019",506736,United States,USA
Mayo Muscle Lab; Mayo Clinic,-,3,3,3,"Jun 11, 2014",500270,United States,USA
DLE - Diagnosticos Laboratoriais Especializados,-,3,3,1,"Mar 16, 2017",500078,Brazil,BRA
Linda Baker Laboratory; UT Southwestern Medical Center,Assertion criteria,3,3,1,"Dec 27, 2019",507351,United States,USA
van Oers lab; UT Southwestern Medical Center,-,3,3,1,"Apr 20, 2020",507388,United States,USA
Klinische Chemie und Biochemie,-,3,0,1,"Nov 01, 2010",504803,Switzerland,CHE
Department of Allergy,-,3,0,1,"Feb 29, 2012",500254,China,CHN
"Wu Jinyu Laboratory, Institute of Genomic Medicine; Wenzhou Medical University",-,3,3,3,"Nov 07, 2018",506761,China,CHN
GOSgene; University College London Great Ormond Street Institute of Child Health,Assertion criteria,3,3,3,"Sep 11, 2019",506713,United Kingdom,GBR
Mayo Clinic Genomics Laboratory; Mayo CLinic,-,3,3,1,"Dec 10, 2018",506794,United States,USA
Kamineni Academy of Medical Sciences & Research Centre; Kamineni Hospitals,Assertion criteria,3,3,2,"May 05, 2020",505974,India,IND
"Institute of Basic Medical Sciences; Khyber Medical University, Peshawar",-,3,3,1,"Feb 03, 2017",506049,Pakistan,PAK
School of Medicine; Marmara University,Assertion criteria,3,3,2,"May 11, 2019",507001,Turkey,TUR
Center of Human Genetics; Erasme Hospital,Assertion criteria,2,2,2,"Mar 10, 2020",507031,Belgium,BEL
Clinical Research Group; BGI Genomics,Assertion criteria,2,2,3,"Jun 08, 2020",507060,China,CHN
Faculty of Allied and Health Sciences; Imperial College of Business Studies,Assertion criteria,2,2,2,"Sep 16, 2019",506998,Pakistan,PAK
Medical Genetics; Nice Hospital - IRCAN,-,2,2,1,"Sep 14, 2016",505920,France,FRA
"Cardiogenetics; Center of Medical Genetics, Antwerp, Belgium",-,2,2,1,"Nov 03, 2016",505996,Belgium,BEL
Reproductive Endocrine Unit; Massachusetts General Hospital,Assertion criteria,2,2,1,"Feb 21, 2020",507462,United States,USA
Centro de Desenvolvimento Científico e Tecnológico; Secretaria da Saúde do Estado do Rio Grande do Sul,-,2,1,4,"Oct 16, 2019",506054,Brazil,BRA
Laboratory of Genetic Skeletal Anomaly; Seoul National University Children's Hospital,-,2,2,2,"Aug 01, 2020",506056,"Korea, Republic of",KOR
Sandor Lifesciences Pvt Ltd,-,2,2,1,"Nov 24, 2017",506142,India,IND
"Genetic and Metabolic Disease Program, Children's Medical Center Research Institute; UT Southwestern Medical Center at Dallas",-,2,2,5,"Jul 08, 2020",506132,United States,USA
Hakim Medical Genetics Center Laboratory; Neyshabur University of Medical Sciences,Assertion criteria,2,2,1,"Apr 15, 2019",506769,"Iran, Islamic Republic of",IRN
Research and Development; Genoox,-,2,2,2,"Mar 28, 2019",506759,Israel,ISR
Molecular Vision Laboratory,-,2,2,2,"Sep 11, 2018",320256,United States,USA
Reproductive Endocrinology and immunology,-,2,0,1,"Sep 26, 2011",500298,"Taiwan, Province of China",TWN
Institut für Integrative und Experimentelle Genomik,-,2,2,2,"Sep 23, 2013",500151,Germany,DEU
Alzheimer Center and Department of Neurology,-,2,0,1,"Oct 28, 2013",500156,Netherlands,NLD
Lab. of Molecular Biology of Arterial Hypertension; University of Padova,-,2,0,1,"Jun 17, 2013",500122,Italy,ITA
"Division of Hematology/Oncology, Florida; Mayo Clinic",-,2,2,1,"Mar 20, 2018",506516,United States,USA
Nalepa Lab; Indiana University School of Medicine,-,2,2,1,"Sep 18, 2018",506688,United States,USA
Stephanie Ware Laboratory; Indiana University School of Medicine,Assertion criteria,2,2,2,"May 22, 2018",506597,United States,USA
Medical Genetics Institute; Shaare Zedek Medical Center,Assertion criteria,2,2,1,"Jun 19, 2018",319945,Israel,ISR
Duke University Health System Sequencing Clinic; Duke University Health System,-,2,2,1,"Apr 09, 2015",505392,United States,USA
Genome Sciences and Precision Medicine Center; Medical College of Wisconsin,-,2,2,1,"Aug 27, 2019",507128,United States,USA
Heinzen Lab; Columbia University,-,2,2,391,"Feb 09, 2017",506035,United States,USA
Paisan-Ruiz Laboratory; Icahn School of Medicine at Mount Sinai ,Assertion criteria,2,2,2,"Feb 10, 2017",505869,United States,USA
Baylor College of Medicine,-,2,2,12,"Mar 05, 2015",505398,United States,USA
FORGE Canada; Children's Hospital of Eastern Ontario,-,2,2,3,"Aug 13, 2014",505292,Canada,CAN
Cincinnati Center for Growth Disorders; Cincinnati Children's Hospital Medical Center,-,2,2,2,"Aug 14, 2017",506296,United States,USA
Sharon E. Plon Laboratory; Baylor College of Medicine,Assertion criteria,2,2,2,"Apr 07, 2016",505864,United States,USA
Shendure Lab; University of Washington,-,2,2,1,"Aug 10, 2016",505901,United States,USA
Center for Applied Genomics; Children's Hospital of Philadelphia,-,2,0,2,"Apr 23, 2013",500120,United States,USA
